City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Ustka,PL,54.5805,16.8619,45.7,87,4,8.43,clear sky
268,Coihaique,CL,-45.5752,-72.0662,50.61,76,75,4.61,broken clouds
269,Olafsvik,IS,64.8945,-23.7142,39.61,83,97,20.24,overcast clouds
270,Huntsville,US,34.7304,-86.5861,71.56,74,75,13.8,broken clouds
271,Parana,AR,-31.732,-60.5238,68.56,82,99,7.58,overcast clouds
272,Boa Vista,BR,2.8197,-60.6733,78.78,89,75,4.61,broken clouds
273,Mitu,CO,1.1983,-70.1733,72.18,98,88,1.1,overcast clouds
274,Georgiyevskoye,RU,58.731,45.024,37.85,91,88,5.79,overcast clouds
275,Sharjah,AE,25.3573,55.4033,89.58,37,0,10.36,clear sky
276,Ampere,BR,-25.915,-53.4728,56.75,88,1,3.76,clear sky
277,Larreynaga,NI,12.6769,-86.5719,84.16,69,96,3.98,overcast clouds
278,Megion,RU,61.0296,76.1136,26.62,90,100,35.84,snow
279,Springbok,ZA,-29.6643,17.8865,45.82,98,22,3.91,few clouds
280,Qaqortoq,GL,60.7167,-46.0333,34.43,99,100,3.06,light snow
281,Tutoia,BR,-2.7619,-42.2744,78.55,87,95,11.03,overcast clouds
282,Saquarema,BR,-22.92,-42.5103,73.44,76,2,10.8,clear sky
283,Iisalmi,FI,63.5592,27.1907,39.42,86,29,5.28,scattered clouds
284,Bonavista,CA,48.6499,-53.1147,32.2,80,100,22.48,overcast clouds
285,Junagadh,IN,21.5167,70.4667,79.3,72,0,5.61,clear sky
286,Leca Da Palmeira,PT,41.191,-8.7003,67.19,67,40,1.01,scattered clouds
287,Nanortalik,GL,60.1432,-45.2371,33.98,99,100,4.05,light snow
288,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.35,98,84,2.17,broken clouds
289,Marabba,SD,12.35,32.1833,95.2,29,83,3.62,broken clouds
290,Ylivieska,FI,64.0833,24.55,46.31,74,31,9.17,scattered clouds
291,Maragogi,BR,-9.0122,-35.2225,77.79,82,87,7.83,overcast clouds
292,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,72,20,9.22,few clouds
293,Saint-Augustin,CA,51.226,-58.6502,35.35,58,97,13.69,overcast clouds
294,Camana,PE,-16.6228,-72.7111,67.35,85,63,7.47,broken clouds
295,Bar Harbor,US,44.3876,-68.2039,54.27,50,0,12.66,clear sky
296,Tabou,CI,4.423,-7.3528,81.55,83,64,9.19,broken clouds
297,Buzmeyin,TM,38.0507,58.2056,71.33,73,75,4.61,broken clouds
298,Ahero,KE,-0.1746,34.9163,65.41,90,95,3.51,light rain
299,Kurchum,KZ,48.5722,83.6542,57.52,48,2,3.83,clear sky
300,Hun,LY,29.1268,15.9477,66.97,59,93,17.2,overcast clouds
301,Vuktyl,RU,63.8567,57.3094,28.17,79,82,7.65,broken clouds
302,Santa Rosa,PH,14.3122,121.1114,84.09,74,33,10.04,scattered clouds
303,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,92,100,9.1,overcast clouds
304,Little Current,CA,45.9793,-81.9248,59.05,42,14,11.01,few clouds
305,Nacala,MZ,-14.5428,40.6728,71.13,92,23,5.53,few clouds
306,Umm Lajj,SA,25.0213,37.2685,74.05,49,0,10.78,clear sky
307,Volcan,PA,8.7667,-82.6333,66.09,95,100,1.32,overcast clouds
308,Berlevag,NO,70.8578,29.0864,39.2,90,100,8.23,overcast clouds
309,Opuwo,NA,-18.0607,13.84,61.27,40,0,2.19,clear sky
310,Port-Gentil,GA,-0.7193,8.7815,82.36,89,40,8.05,thunderstorm
311,Sorland,NO,67.667,12.6934,40.77,79,46,46.22,scattered clouds
312,Bani Walid,LY,31.7566,13.9942,60.4,69,0,5.37,clear sky
313,Oranjestad,AW,12.524,-70.027,82.35,78,20,18.41,few clouds
314,Husavik,IS,66.0449,-17.3389,33.12,74,64,8.08,broken clouds
315,Neuquen,AR,-38.9516,-68.0591,62.49,51,0,0.0,clear sky
316,Ust-Tsilma,RU,65.441,52.1498,34.52,98,100,6.71,overcast clouds
317,Kathmandu,NP,27.7167,85.3167,64.62,94,20,0.0,few clouds
318,Makurdi,NG,7.7411,8.5121,78.12,80,99,5.08,overcast clouds
319,Puerto Carreno,CO,6.189,-67.4859,75.18,94,100,2.3,heavy intensity rain
320,Jalu,LY,29.0331,21.5482,75.47,22,98,15.93,overcast clouds
321,Sosua,DO,19.7667,-70.5167,84.18,94,40,0.0,scattered clouds
322,Thompson,CA,55.7435,-97.8558,66.36,42,75,12.66,broken clouds
323,Deogarh,IN,21.5333,84.7333,75.88,81,6,2.19,clear sky
324,Sandnessjoen,NO,66.0217,12.6316,41.65,89,58,8.99,broken clouds
325,Cerqueira Cesar,BR,-23.0356,-49.1661,59.0,82,5,10.54,clear sky
